,Pair_Name,Hedge_Ratio,Spread_Pvalue
0,"('ADANIPORTS', 'CIPLA')",0.8175565446733774,0.014739061491399114
1,"('ADANIPORTS', 'HEROMOTOCO')",0.2719646233663608,0.00040086377933200984
2,"('ADANIPORTS', 'ONGC')",5.120777600015842,0.016772120491647936
3,"('APOLLOHOSP', 'CIPLA')",4.355830104557781,0.011929620200940405
4,"('APOLLOHOSP', 'DRREDDY')",4.755987192206028,0.011459332932401223
5,"('APOLLOHOSP', 'GRASIM')",2.65296089872864,0.0014587871525021936
6,"('APOLLOHOSP', 'HCLTECH')",3.9640809301616047,0.0014169581082680493
7,"('APOLLOHOSP', 'ICICIBANK')",5.4723184434680565,0.002636374900241257
8,"('APOLLOHOSP', 'NIFTY50')",0.26085863033961476,0.030433459843881103
9,"('APOLLOHOSP', 'ULTRACEMCO')",0.6048771503512488,0.005304122033529822
10,"('AXISBANK', 'BRITANNIA')",0.2086674381616994,0.00016001740216720225
11,"('AXISBANK', 'CIPLA')",0.7966727461652167,0.008500614951877008
12,"('AXISBANK', 'DRREDDY')",0.8735248185421689,0.011420700485119051
13,"('AXISBANK', 'MARUTI')",0.09693556805753614,0.0025440888910660308
14,"('BAJAJFINSV', 'BAJFINANCE')",0.22493165925382752,0.022095426317578253
15,"('BANKNIFTY', 'BRITANNIA')",9.587851081336556,0.007538644997255
16,"('BANKNIFTY', 'DRREDDY')",40.184070758742415,0.016653209080041698
17,"('BHARTIARTL', 'SUNPHARMA')",0.8371461048860345,0.018559993884150153
18,"('CIPLA', 'EICHERMOT')",0.32755927750058833,0.007523104444165805
19,"('CIPLA', 'GRASIM')",0.6054795240662364,0.0006472684545033664
20,"('CIPLA', 'ICICIBANK')",1.2493133939447207,0.009743088610320695
21,"('CIPLA', 'SBIN')",1.9215033210711259,0.0054553893114345315
22,"('COALINDIA', 'NTPC')",1.1629595934119565,0.03348526194289418
23,"('DRREDDY', 'ULTRACEMCO')",0.12548782112917994,0.003776697443225758
24,"('EICHERMOT', 'ICICIBANK')",3.8025021541321293,0.002674010138653626
25,"('EICHERMOT', 'SBIN')",5.843706441631198,0.000953199719463493
26,"('GRASIM', 'NIFTY50')",0.09811909459377517,0.0257899854992016
27,"('GRASIM', 'SBIN')",3.1682783455923618,0.016623750544451317
28,"('HCLTECH', 'ULTRACEMCO')",0.1520565280712672,0.006433557069471475
29,"('HINDALCO', 'TCS')",0.13764726035169886,0.042065689257648003
30,"('JSWSTEEL', 'MARUTI')",0.07855026199879342,0.02713162455422408
31,"('JSWSTEEL', 'NESTLEIND')",0.35193820146068433,0.008969008331106691
32,"('JSWSTEEL', 'NIFTY50')",0.038827851857941256,0.012947501788120753
33,"('MARUTI', 'SBIN')",15.80372022909747,0.00973589021050816
34,"('ONGC', 'POWERGRID')",0.876296205936505,0.0030612370813555686
35,"('RELIANCE', 'SBILIFE')",0.952676200354911,0.040493650859391515
36,"('TATASTEEL', 'TCS')",0.03386130692423315,0.03405876515780387
